,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,New York City,40.7143,-74.006,18.38,57,1,1.34,US,1636821336
1,Los Angeles,34.0522,-118.2437,29.7,30,1,2.06,US,1636821108
2,Chicago,41.85,-87.65,4.51,80,90,2.68,US,1636820902
3,Houston,29.7633,-95.3633,17.36,42,1,1.34,US,1636821300
4,Phoenix,33.4484,-112.074,26.17,28,20,0.45,US,1636821484
5,Philadelphia,39.9523,-75.1638,18.39,72,75,3.58,US,1636821410
6,San Antonio,29.4241,-98.4936,20.06,30,1,3.09,US,1636821417
7,San Diego,32.7153,-117.1573,29.6,40,20,0.0,US,1636821191
8,Dallas,32.7668,-96.7836,14.65,35,1,0.0,US,1636821411
9,Austin,30.2672,-97.7431,18.42,37,20,0.89,US,1636821327
10,San Jose,37.3394,-121.895,20.88,82,90,0.0,US,1636821490
11,Fort Worth,32.7254,-97.3208,14.53,40,1,0.45,US,1636821420
12,Jacksonville,30.3322,-81.6556,20.59,85,75,1.34,US,1636821457
13,Columbus,39.9612,-82.9988,5.11,75,90,4.02,US,1636821361
14,Charlotte,35.2271,-80.8431,17.52,50,20,1.34,US,1636821575
15,Indianapolis,39.7684,-86.158,4.22,75,90,7.72,US,1636821106
16,San Francisco,37.7749,-122.4194,19.53,85,75,0.89,US,1636821347
17,Seattle,47.6062,-122.3321,9.38,94,90,0.45,US,1636821424
18,Denver,39.7392,-104.9847,17.29,29,100,2.24,US,1636821564
19,Washington,47.5001,-120.5015,4.58,66,62,1.4,US,1636821546
20,Boston,42.3584,-71.0598,16.39,55,20,1.79,US,1636821439
21,El Paso,31.8001,-106.2005,16.12,31,20,1.54,US,1636821429
22,Nashville,36.1659,-86.7844,7.99,51,1,2.68,US,1636821372
23,Oklahoma City,35.4676,-97.5164,12.65,38,40,3.58,US,1636821456
24,Las Vegas,36.175,-115.1372,20.93,34,1,2.57,US,1636821436
25,Detroit,42.3314,-83.0458,6.75,76,75,0.89,US,1636821610
26,Portland,45.5234,-122.6762,11.61,96,90,1.79,US,1636821352
27,Memphis,35.1495,-90.049,8.05,47,1,3.6,US,1636821479
28,Louisville,38.2542,-85.7594,5.59,69,90,2.24,US,1636821453
29,Milwaukee,43.0006,-87.9668,4.13,67,75,1.79,US,1636821579
30,Baltimore,39.2904,-76.6122,13.87,70,90,3.13,US,1636821477
31,Albuquerque,35.0845,-106.6511,18.56,35,1,0.45,US,1636821346
32,Tucson,32.2217,-110.9265,24.92,23,1,0.45,US,1636820942
33,Mesa,33.4223,-111.8226,25.86,25,1,0.45,US,1636821471
34,Fresno,36.6666,-119.8343,11.13,100,90,1.54,US,1636821572
35,Sacramento,38.4666,-121.3177,21.84,99,90,0.0,US,1636821494
36,Atlanta,33.749,-84.388,13.79,54,1,1.79,US,1636821599
37,Kansas City,39.0997,-94.5786,4.54,65,1,3.09,US,1636821335
38,Colorado Springs,38.8339,-104.8214,16.14,31,1,1.79,US,1636821472
39,Raleigh,35.7721,-78.6386,20.06,50,1,2.68,US,1636821375
40,Omaha,41.2586,-95.9378,2.31,69,40,1.34,US,1636821415
41,Miami,25.7743,-80.1937,30.01,67,75,1.79,US,1636821572
42,Long Beach,33.767,-118.1892,30.24,38,1,1.34,US,1636821516
43,Virginia Beach,36.8529,-75.978,20.57,45,5,3.58,US,1636821612
44,Oakland,42.6667,-83.3999,5.47,83,90,5.14,US,1636821544
45,Minneapolis,44.98,-93.2638,1.45,72,90,0.89,US,1636821331
46,Tampa,27.9475,-82.4584,26.78,77,75,0.45,US,1636821374
47,Tulsa,36.1001,-95.9003,8.32,56,1,1.34,US,1636821612
48,Arlington,32.7357,-97.1081,14.62,40,1,1.34,US,1636821521
49,Wichita,37.6922,-97.3375,8.14,50,40,1.34,US,1636821421
50,Bakersfield,35.3733,-119.0187,27.12,87,1,0.0,US,1636821447
51,Aurora,39.7294,-104.8319,17.04,29,75,0.89,US,1636821477
52,New Orleans,29.9547,-90.0751,14.46,52,1,1.34,US,1636821602
53,Cleveland,41.4995,-81.6954,4.46,83,90,8.23,US,1636821335
54,Anaheim,33.8353,-117.9145,30.3,38,1,0.89,US,1636821518
55,Henderson,36.0397,-114.9819,21.24,35,1,0.0,US,1636821613
56,Honolulu,21.3069,-157.8583,22.9,75,20,0.0,US,1636821542
57,Riverside,33.7333,-116.0508,26.59,17,0,1.15,US,1636821614
58,Santa Ana,33.7456,-117.8678,30.39,38,1,1.54,US,1636821614
59,Corpus Christi,27.8006,-97.3964,22.31,34,40,1.79,US,1636821614
60,Lexington,37.9887,-84.4777,4.68,61,75,0.89,US,1636821552
61,San Juan,-31.5375,-68.5364,31.68,28,0,14.23,AR,1636821615
62,Stockton,37.9577,-121.2908,16.7,100,90,1.54,US,1636821615
