City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
New York City,40.7143,-74.006,12.17,83,18,3.58,2021-11-18 03:00:00
New York City,40.7143,-74.006,12.01,75,95,6.68,2021-11-19 03:00:00
New York City,40.7143,-74.006,5.49,58,13,4.93,2021-11-20 03:00:00
New York City,40.7143,-74.006,7.69,57,100,3.72,2021-11-21 03:00:00
New York City,40.7143,-74.006,12.33,84,100,4.59,2021-11-22 03:00:00
Los Angeles,34.0522,-118.2437,18.45,63,15,1.85,2021-11-18 03:00:00
Los Angeles,34.0522,-118.2437,18.27,55,98,1.21,2021-11-19 03:00:00
Los Angeles,34.0522,-118.2437,17.68,56,100,1.41,2021-11-20 03:00:00
Los Angeles,34.0522,-118.2437,18.35,46,56,1.45,2021-11-21 03:00:00
Los Angeles,34.0522,-118.2437,21.0,17,26,2.88,2021-11-22 03:00:00
Chicago,41.85,-87.65,8.28,65,92,5.75,2021-11-18 03:00:00
Chicago,41.85,-87.65,1.4,45,18,6.2,2021-11-19 03:00:00
Chicago,41.85,-87.65,3.29,46,100,5.55,2021-11-20 03:00:00
Chicago,41.85,-87.65,7.64,54,100,2.73,2021-11-21 03:00:00
Chicago,41.85,-87.65,5.27,56,31,6.93,2021-11-22 03:00:00
Houston,29.7633,-95.3633,23.72,74,13,2.69,2021-11-18 03:00:00
Houston,29.7633,-95.3633,16.68,55,100,4.7,2021-11-19 03:00:00
Houston,29.7633,-95.3633,16.32,53,0,2.56,2021-11-20 03:00:00
Houston,29.7633,-95.3633,19.61,78,33,2.76,2021-11-21 03:00:00
Houston,29.7633,-95.3633,19.04,75,85,4.6,2021-11-22 03:00:00
Phoenix,33.4484,-112.074,23.92,18,59,0.1,2021-11-18 03:00:00
Phoenix,33.4484,-112.074,23.17,16,91,2.39,2021-11-19 03:00:00
Phoenix,33.4484,-112.074,23.11,17,100,1.1,2021-11-20 03:00:00
Phoenix,33.4484,-112.074,22.59,17,100,1.15,2021-11-21 03:00:00
Phoenix,33.4484,-112.074,22.8,12,100,5.43,2021-11-22 03:00:00
Philadelphia,39.9523,-75.1638,12.21,82,53,3.36,2021-11-18 03:00:00
Philadelphia,39.9523,-75.1638,11.18,75,100,5.41,2021-11-19 03:00:00
Philadelphia,39.9523,-75.1638,5.75,50,84,3.55,2021-11-20 03:00:00
Philadelphia,39.9523,-75.1638,6.48,65,100,2.03,2021-11-21 03:00:00
Philadelphia,39.9523,-75.1638,11.89,86,100,4.29,2021-11-22 03:00:00
San Antonio,29.4241,-98.4936,22.79,62,8,2.81,2021-11-18 03:00:00
San Antonio,29.4241,-98.4936,13.21,31,67,4.3,2021-11-19 03:00:00
San Antonio,29.4241,-98.4936,14.8,63,0,2.76,2021-11-20 03:00:00
San Antonio,29.4241,-98.4936,21.11,78,98,4.01,2021-11-21 03:00:00
San Antonio,29.4241,-98.4936,18.46,38,100,7.56,2021-11-22 03:00:00
San Diego,32.7153,-117.1573,18.56,73,50,1.18,2021-11-18 03:00:00
San Diego,32.7153,-117.1573,18.08,71,100,2.2,2021-11-19 03:00:00
San Diego,32.7153,-117.1573,17.75,69,100,1.81,2021-11-20 03:00:00
San Diego,32.7153,-117.1573,17.79,67,92,2.23,2021-11-21 03:00:00
San Diego,32.7153,-117.1573,21.24,27,100,3.21,2021-11-22 03:00:00
Dallas,32.7668,-96.7836,18.88,43,29,6.86,2021-11-18 03:00:00
Dallas,32.7668,-96.7836,12.16,26,0,3.46,2021-11-19 03:00:00
Dallas,32.7668,-96.7836,13.32,34,51,3.6,2021-11-20 03:00:00
Dallas,32.7668,-96.7836,20.25,71,100,6.29,2021-11-21 03:00:00
Dallas,32.7668,-96.7836,15.22,39,100,4.86,2021-11-22 03:00:00
Austin,30.2672,-97.7431,23.06,66,3,2.31,2021-11-18 03:00:00
Austin,30.2672,-97.7431,13.66,27,43,4.61,2021-11-19 03:00:00
Austin,30.2672,-97.7431,14.75,58,0,2.79,2021-11-20 03:00:00
Austin,30.2672,-97.7431,20.94,73,100,4.52,2021-11-21 03:00:00
Austin,30.2672,-97.7431,16.41,44,99,6.58,2021-11-22 03:00:00
San Jose,37.3394,-121.895,16.98,54,51,0.87,2021-11-18 03:00:00
San Jose,37.3394,-121.895,15.07,64,100,0.85,2021-11-19 03:00:00
San Jose,37.3394,-121.895,12.62,84,78,1.41,2021-11-20 03:00:00
San Jose,37.3394,-121.895,12.6,47,0,1.27,2021-11-21 03:00:00
San Jose,37.3394,-121.895,14.1,58,0,0.95,2021-11-22 03:00:00
Fort Worth,32.7254,-97.3208,17.46,41,29,7.63,2021-11-18 03:00:00
Fort Worth,32.7254,-97.3208,11.44,24,0,3.65,2021-11-19 03:00:00
Fort Worth,32.7254,-97.3208,12.81,37,58,4.56,2021-11-20 03:00:00
Fort Worth,32.7254,-97.3208,20.19,71,100,7.68,2021-11-21 03:00:00
Fort Worth,32.7254,-97.3208,14.69,35,100,4.86,2021-11-22 03:00:00
Jacksonville,30.3322,-81.6556,19.55,80,32,2.08,2021-11-18 03:00:00
Jacksonville,30.3322,-81.6556,20.97,76,100,0.38,2021-11-19 03:00:00
Jacksonville,30.3322,-81.6556,18.58,67,96,5.11,2021-11-20 03:00:00
Jacksonville,30.3322,-81.6556,18.13,76,37,3.1,2021-11-21 03:00:00
Jacksonville,30.3322,-81.6556,18.92,78,100,1.64,2021-11-22 03:00:00
Columbus,39.9612,-82.9988,17.66,70,83,7.29,2021-11-18 03:00:00
Columbus,39.9612,-82.9988,3.63,48,3,4.67,2021-11-19 03:00:00
Columbus,39.9612,-82.9988,3.36,48,100,2.72,2021-11-20 03:00:00
Columbus,39.9612,-82.9988,7.67,58,100,2.95,2021-11-21 03:00:00
Columbus,39.9612,-82.9988,8.68,94,100,3.05,2021-11-22 03:00:00
Charlotte,35.2271,-80.8431,15.12,57,1,2.99,2021-11-18 03:00:00
Charlotte,35.2271,-80.8431,17.31,65,83,3.23,2021-11-19 03:00:00
Charlotte,35.2271,-80.8431,6.44,36,0,3.02,2021-11-20 03:00:00
Charlotte,35.2271,-80.8431,5.76,42,95,1.3,2021-11-21 03:00:00
Charlotte,35.2271,-80.8431,10.94,70,100,1.8,2021-11-22 03:00:00
Indianapolis,39.7684,-86.158,14.06,88,93,4.68,2021-11-18 03:00:00
Indianapolis,39.7684,-86.158,2.77,46,7,4.83,2021-11-19 03:00:00
Indianapolis,39.7684,-86.158,2.71,51,100,3.22,2021-11-20 03:00:00
Indianapolis,39.7684,-86.158,7.03,64,100,2.83,2021-11-21 03:00:00
Indianapolis,39.7684,-86.158,6.51,84,99,3.02,2021-11-22 03:00:00
San Francisco,37.7749,-122.4194,16.55,53,60,2.19,2021-11-18 03:00:00
San Francisco,37.7749,-122.4194,14.27,69,99,1.38,2021-11-19 03:00:00
San Francisco,37.7749,-122.4194,13.21,84,15,2.22,2021-11-20 03:00:00
San Francisco,37.7749,-122.4194,14.47,58,0,2.2,2021-11-21 03:00:00
San Francisco,37.7749,-122.4194,14.47,53,0,3.11,2021-11-22 03:00:00
Seattle,47.6062,-122.3321,6.19,68,100,1.53,2021-11-18 03:00:00
Seattle,47.6062,-122.3321,4.75,96,100,2.15,2021-11-19 03:00:00
Seattle,47.6062,-122.3321,5.18,87,39,0.79,2021-11-20 03:00:00
