City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
New York City,40.7143,-74.006,14.01,81,40,0.45,US,1637193709
Los Angeles,34.0522,-118.2437,25.07,66,1,2.06,US,1637193875
Chicago,41.85,-87.65,9.53,76,90,4.02,US,1637193837
Houston,29.7633,-95.3633,25.75,77,20,3.13,US,1637193791
Phoenix,33.4484,-112.074,26.88,21,73,0.2,US,1637193599
Philadelphia,39.9523,-75.1638,14.41,83,47,0.89,US,1637193724
San Antonio,29.4241,-98.4936,25.86,56,1,2.06,US,1637193867
San Diego,32.7153,-117.1573,22.97,74,40,2.06,US,1637193814
Dallas,32.7668,-96.7836,22.81,47,25,0.45,US,1637193255
Austin,30.2672,-97.7431,25.8,63,1,0.89,US,1637193537
San Jose,37.3394,-121.895,20.37,51,40,3.09,US,1637193645
Fort Worth,32.7254,-97.3208,21.91,43,40,0.45,US,1637193666
Jacksonville,30.3322,-81.6556,20.7,85,40,0.45,US,1637193805
Columbus,39.9612,-82.9988,19.23,68,75,2.68,US,1637193812
Charlotte,35.2271,-80.8431,18.19,59,0,1.34,US,1637193601
Indianapolis,39.7684,-86.158,17.66,90,90,5.66,US,1637193819
San Francisco,37.7749,-122.4194,19.96,54,40,0.89,US,1637193661
Seattle,47.6062,-122.3321,8.96,67,100,0.89,US,1637193590
Denver,39.7392,-104.9847,3.31,43,12,0.89,US,1637193794
Washington,47.5001,-120.5015,3.27,60,95,1.48,US,1637193877
Boston,42.3584,-71.0598,8.6,69,100,1.79,US,1637193677
El Paso,31.8001,-106.2005,20.81,14,90,4.12,US,1637193877
Nashville,36.1659,-86.7844,20.12,68,40,3.58,US,1637193845
Oklahoma City,35.4676,-97.5164,12.88,29,88,6.26,US,1637193628
Las Vegas,36.175,-115.1372,21.97,19,1,4.63,US,1637193877
Detroit,42.3314,-83.0458,17.04,86,90,0.89,US,1637193803
Portland,45.5234,-122.6762,11.27,52,99,1.34,US,1637193450
Memphis,35.1495,-90.049,22.87,58,42,4.88,US,1637193602
Louisville,38.2542,-85.7594,19.58,69,90,0.45,US,1637193865
Milwaukee,43.0006,-87.9668,9.18,43,75,2.24,US,1637193642
Baltimore,39.2904,-76.6122,14.08,83,39,2.55,US,1637193650
Albuquerque,35.0845,-106.6511,18.1,19,1,0.89,US,1637193658
Tucson,32.2217,-110.9265,24.32,22,1,0.45,US,1637193302
Mesa,33.4223,-111.8226,26.57,20,1,0.45,US,1637193829
Fresno,36.6666,-119.8343,18.13,56,75,0.0,US,1637193675
Sacramento,38.4666,-121.3177,17.5,79,20,0.45,US,1637193879
Atlanta,33.749,-84.388,17.03,64,1,0.0,US,1637193819
Kansas City,39.0997,-94.5786,9.7,38,54,5.81,US,1637193611
Colorado Springs,38.8339,-104.8214,2.28,52,20,2.24,US,1637193683
Raleigh,35.7721,-78.6386,17.84,64,1,3.09,US,1637193647
Omaha,41.2586,-95.9378,6.76,41,1,0.89,US,1637193722
Miami,25.7743,-80.1937,26.12,77,90,0.89,US,1637193802
Long Beach,33.767,-118.1892,25.41,75,12,2.68,US,1637193609
Virginia Beach,36.8529,-75.978,18.34,68,3,0.45,US,1637193694
Oakland,42.6667,-83.3999,15.94,90,90,7.2,US,1637193867
Minneapolis,44.98,-93.2638,2.5,61,90,3.58,US,1637193776
Tampa,27.9475,-82.4584,23.96,77,90,2.57,US,1637193881
Tulsa,36.1001,-95.9003,12.52,37,100,3.13,US,1637193611
Arlington,32.7357,-97.1081,22.03,40,1,2.24,US,1637193731
Wichita,37.6922,-97.3375,8.83,33,75,0.45,US,1637193808
Bakersfield,35.3733,-119.0187,25.25,62,1,0.45,US,1637193858
Aurora,39.7294,-104.8319,3.06,41,20,1.34,US,1637193735
New Orleans,29.9547,-90.0751,22.78,75,1,1.34,US,1637193862
