City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
New York City,40.7143,-74.006,18.98,61,75,0.45,US,1637282760
Los Angeles,34.0522,-118.2437,23.21,77,1,2.06,US,1637282931
Chicago,41.85,-87.65,1.04,60,90,1.34,US,1637282830
Houston,29.7633,-95.3633,17.05,68,90,2.24,US,1637282313
Phoenix,33.4484,-112.074,27.07,22,75,0.89,US,1637282699
Philadelphia,39.9523,-75.1638,19.08,60,75,3.6,US,1637282777
San Antonio,29.4241,-98.4936,17.29,41,90,2.57,US,1637282744
San Diego,32.7153,-117.1573,20.24,80,75,3.6,US,1637282391
Dallas,32.7668,-96.7836,13.49,32,20,1.54,US,1637282367
Austin,30.2672,-97.7431,15.84,41,40,1.79,US,1637282769
San Jose,37.3394,-121.895,16.66,72,75,3.09,US,1637282940
Fort Worth,32.7254,-97.3208,12.56,35,1,0.89,US,1637282961
Jacksonville,30.3322,-81.6556,21.25,87,75,2.06,US,1637282962
Columbus,39.9612,-82.9988,5.29,59,40,1.34,US,1637282846
Charlotte,35.2271,-80.8431,20.85,68,75,1.34,US,1637282669
Indianapolis,39.7684,-86.158,4.22,61,75,9.26,US,1637282686
San Francisco,37.7749,-122.4194,16.13,81,75,0.45,US,1637282921
Seattle,47.6062,-122.3321,6.94,89,90,0.45,US,1637282813
Denver,39.7392,-104.9847,9.73,31,8,0.89,US,1637282108
Washington,47.5001,-120.5015,3.27,68,100,1.02,US,1637282816
Boston,42.3584,-71.0598,16.68,79,40,2.24,US,1637282753
El Paso,31.8001,-106.2005,12.81,19,20,4.12,US,1637282920
Nashville,36.1659,-86.7844,7.17,55,1,0.0,US,1637282916
Oklahoma City,35.4676,-97.5164,9.12,38,20,0.89,US,1637282702
Las Vegas,36.175,-115.1372,19.38,20,1,2.06,US,1637282862
Detroit,42.3314,-83.0458,2.22,72,90,0.45,US,1637282946
Portland,45.5234,-122.6762,9.78,90,90,0.45,US,1637282927
Memphis,35.1495,-90.049,7.87,57,1,0.0,US,1637282818
Louisville,38.2542,-85.7594,6.14,48,1,1.34,US,1637282838
Milwaukee,43.0006,-87.9668,0.57,62,14,3.13,US,1637282911
Baltimore,39.2904,-76.6122,15.54,78,100,2.68,US,1637282782
Albuquerque,35.0845,-106.6511,10.71,31,1,2.57,US,1637282855
Tucson,32.2217,-110.9265,25.21,18,1,0.89,US,1637282333
Mesa,33.4223,-111.8226,26.44,20,1,0.45,US,1637282895
Fresno,36.6666,-119.8343,19.95,68,75,2.57,US,1637282942
Sacramento,38.4666,-121.3177,17.28,86,1,0.89,US,1637282843
Atlanta,33.749,-84.388,17.29,77,90,1.34,US,1637282853
Kansas City,39.0997,-94.5786,6.2,47,0,0.45,US,1637282674
Colorado Springs,38.8339,-104.8214,8.39,36,75,0.45,US,1637282920
Raleigh,35.7721,-78.6386,19.63,83,40,0.45,US,1637282756
Omaha,41.2586,-95.9378,3.31,51,20,1.54,US,1637282949
Miami,25.7743,-80.1937,24.45,97,90,1.34,US,1637282391
Long Beach,33.767,-118.1892,22.6,85,1,2.24,US,1637282788
Virginia Beach,36.8529,-75.978,21.12,74,42,0.89,US,1637282966
Oakland,42.6667,-83.3999,1.49,80,90,6.69,US,1637282969
Minneapolis,44.98,-93.2638,-0.61,67,40,0.89,US,1637282939
Tampa,27.9475,-82.4584,22.97,93,75,3.09,US,1637282891
Tulsa,36.1001,-95.9003,8.81,45,1,0.0,US,1637282970
Arlington,32.7357,-97.1081,12.79,32,1,1.34,US,1637282887
Wichita,37.6922,-97.3375,7.09,39,20,2.57,US,1637282770
Bakersfield,35.3733,-119.0187,22.36,58,1,0.45,US,1637282971
Aurora,39.7294,-104.8319,7.7,33,40,0.89,US,1637282866
New Orleans,29.9547,-90.0751,18.0,79,90,0.89,US,1637282940
Cleveland,41.4995,-81.6954,5.1,63,90,1.34,US,1637282947
Anaheim,33.8353,-117.9145,23.14,79,1,1.79,US,1637282722
Henderson,36.0397,-114.9819,19.69,20,1,2.57,US,1637282972
Honolulu,21.3069,-157.8583,30.9,58,40,4.63,US,1637282972
Riverside,33.7333,-116.0508,23.6,26,1,0.0,US,1637282973
Santa Ana,33.7456,-117.8678,22.65,80,90,2.57,US,1637282799
Corpus Christi,27.8006,-97.3964,20.0,50,90,3.13,US,1637282766
Lexington,37.9887,-84.4777,4.62,60,1,3.09,US,1637282872
San Juan,-31.5375,-68.5364,25.65,16,35,5.32,AR,1637282974
Stockton,37.9577,-121.2908,16.19,84,1,2.06,US,1637282675
St. Paul,44.9444,-93.0933,-0.4,65,1,1.34,US,1637282554
Cincinnati,39.162,-84.4569,5.07,55,1,0.45,US,1637282932
Greensboro,36.0726,-79.792,20.12,70,75,1.34,US,1637282905
Pittsburgh,40.4406,-79.9959,5.97,71,20,0.89,US,1637282371
Irvine,33.6695,-117.8231,22.54,83,90,2.57,US,1637282972
St. Louis,38.6273,-90.1979,6.14,44,0,0.89,US,1637282892
Lincoln,40.8,-96.667,3.12,47,1,0.0,US,1637282709
Orlando,28.5383,-81.3792,21.98,74,90,3.6,US,1637282846
Durham,36.0335,-78.8664,20.18,77,40,0.89,US,1637282760
Plano,33.0198,-96.6989,12.49,34,0,0.89,US,1637282976
Anchorage,61.2181,-149.9003,-12.25,77,40,0.45,US,1637282876
