,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,New York City,40.7143,-74.006,13.75,65,53,8.93,2021-11-13 21:00:00
1,New York City,40.7143,-74.006,8.11,47,75,4.57,2021-11-14 21:00:00
2,New York City,40.7143,-74.006,8.3,50,81,7.36,2021-11-15 21:00:00
3,New York City,40.7143,-74.006,9.22,41,9,5.66,2021-11-16 21:00:00
4,New York City,40.7143,-74.006,12.69,64,100,2.45,2021-11-17 21:00:00
5,Los Angeles,34.0522,-118.2437,30.18,18,1,1.91,2021-11-13 21:00:00
6,Los Angeles,34.0522,-118.2437,30.08,13,0,2.64,2021-11-14 21:00:00
7,Los Angeles,34.0522,-118.2437,28.04,17,6,2.41,2021-11-15 21:00:00
8,Los Angeles,34.0522,-118.2437,23.08,33,100,3.15,2021-11-16 21:00:00
9,Los Angeles,34.0522,-118.2437,22.96,39,5,2.49,2021-11-17 21:00:00
10,Chicago,41.85,-87.65,4.24,62,92,5.36,2021-11-13 21:00:00
11,Chicago,41.85,-87.65,2.31,90,100,9.19,2021-11-14 21:00:00
12,Chicago,41.85,-87.65,3.61,46,100,3.67,2021-11-15 21:00:00
13,Chicago,41.85,-87.65,11.47,69,51,3.81,2021-11-16 21:00:00
14,Chicago,41.85,-87.65,13.43,93,100,2.47,2021-11-17 21:00:00
15,Houston,29.7633,-95.3633,20.23,31,8,3.73,2021-11-13 21:00:00
16,Houston,29.7633,-95.3633,23.84,43,4,2.69,2021-11-14 21:00:00
17,Houston,29.7633,-95.3633,26.69,45,22,4.29,2021-11-15 21:00:00
18,Houston,29.7633,-95.3633,26.59,45,0,6.12,2021-11-16 21:00:00
19,Houston,29.7633,-95.3633,25.05,56,82,4.65,2021-11-17 21:00:00
20,Phoenix,33.4484,-112.074,28.12,19,13,0.2,2021-11-13 21:00:00
21,Phoenix,33.4484,-112.074,28.35,11,0,1.05,2021-11-14 21:00:00
22,Phoenix,33.4484,-112.074,28.32,11,0,0.48,2021-11-15 21:00:00
23,Phoenix,33.4484,-112.074,26.97,12,100,1.24,2021-11-16 21:00:00
24,Phoenix,33.4484,-112.074,25.51,15,79,1.31,2021-11-17 21:00:00
25,Philadelphia,39.9523,-75.1638,12.33,67,84,6.45,2021-11-13 21:00:00
26,Philadelphia,39.9523,-75.1638,8.32,44,59,3.63,2021-11-14 21:00:00
27,Philadelphia,39.9523,-75.1638,7.81,54,82,6.2,2021-11-15 21:00:00
28,Philadelphia,39.9523,-75.1638,8.47,40,7,3.77,2021-11-16 21:00:00
29,Philadelphia,39.9523,-75.1638,12.33,54,88,1.73,2021-11-17 21:00:00
30,San Antonio,29.4241,-98.4936,21.13,24,1,2.34,2021-11-13 21:00:00
31,San Antonio,29.4241,-98.4936,25.76,43,15,3.1,2021-11-14 21:00:00
32,San Antonio,29.4241,-98.4936,27.74,43,0,5.05,2021-11-15 21:00:00
33,San Antonio,29.4241,-98.4936,27.91,36,0,6.79,2021-11-16 21:00:00
34,San Antonio,29.4241,-98.4936,27.86,39,99,5.99,2021-11-17 21:00:00
35,San Diego,32.7153,-117.1573,26.55,33,13,2.2,2021-11-13 21:00:00
36,San Diego,32.7153,-117.1573,25.46,34,0,3.92,2021-11-14 21:00:00
37,San Diego,32.7153,-117.1573,24.22,37,0,2.81,2021-11-15 21:00:00
38,San Diego,32.7153,-117.1573,20.79,53,100,2.87,2021-11-16 21:00:00
39,San Diego,32.7153,-117.1573,19.85,65,93,3.28,2021-11-17 21:00:00
40,Dallas,32.7668,-96.7836,17.15,28,1,1.89,2021-11-13 21:00:00
41,Dallas,32.7668,-96.7836,21.18,34,21,1.21,2021-11-14 21:00:00
42,Dallas,32.7668,-96.7836,26.02,42,3,4.19,2021-11-15 21:00:00
43,Dallas,32.7668,-96.7836,26.47,45,0,7.59,2021-11-16 21:00:00
44,Dallas,32.7668,-96.7836,27.51,40,0,6.35,2021-11-17 21:00:00
45,Austin,30.2672,-97.7431,20.35,27,50,1.5,2021-11-13 21:00:00
46,Austin,30.2672,-97.7431,24.76,42,29,4.35,2021-11-14 21:00:00
47,Austin,30.2672,-97.7431,26.81,47,5,5.45,2021-11-15 21:00:00
48,Austin,30.2672,-97.7431,26.94,41,0,7.24,2021-11-16 21:00:00
49,Austin,30.2672,-97.7431,27.42,42,55,6.5,2021-11-17 21:00:00
50,San Jose,37.3394,-121.895,24.06,59,7,1.94,2021-11-13 21:00:00
51,San Jose,37.3394,-121.895,25.54,29,42,1.17,2021-11-14 21:00:00
52,San Jose,37.3394,-121.895,23.87,36,100,1.41,2021-11-15 21:00:00
53,San Jose,37.3394,-121.895,19.86,45,0,2.26,2021-11-16 21:00:00
54,San Jose,37.3394,-121.895,21.17,41,88,0.39,2021-11-17 21:00:00
55,Fort Worth,32.7254,-97.3208,18.8,27,1,3.14,2021-11-13 21:00:00
56,Fort Worth,32.7254,-97.3208,21.88,32,25,1.8,2021-11-14 21:00:00
57,Fort Worth,32.7254,-97.3208,27.27,32,3,4.8,2021-11-15 21:00:00
58,Fort Worth,32.7254,-97.3208,27.52,39,0,8.83,2021-11-16 21:00:00
59,Fort Worth,32.7254,-97.3208,27.98,35,0,7.02,2021-11-17 21:00:00
60,Jacksonville,30.3322,-81.6556,21.73,65,82,2.51,2021-11-13 21:00:00
61,Jacksonville,30.3322,-81.6556,19.24,26,0,3.36,2021-11-14 21:00:00
62,Jacksonville,30.3322,-81.6556,21.31,25,0,2.62,2021-11-15 21:00:00
63,Jacksonville,30.3322,-81.6556,21.02,32,0,2.84,2021-11-16 21:00:00
64,Jacksonville,30.3322,-81.6556,23.58,54,60,4.01,2021-11-17 21:00:00
