,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,New York City,40.7143,-74.006,22.51,53,1,0.45,US,1637262988
1,Los Angeles,34.0522,-118.2437,24.93,70,20,1.54,US,1637263237
2,Chicago,41.85,-87.65,1.36,54,90,4.02,US,1637263108
3,Houston,29.7633,-95.3633,22.27,61,1,4.02,US,1637262927
4,Phoenix,33.4484,-112.074,28.2,20,40,1.79,US,1637263280
5,Philadelphia,39.9523,-75.1638,23.14,50,20,3.58,US,1637263046
6,San Antonio,29.4241,-98.4936,19.25,33,20,7.2,US,1637263269
7,San Diego,32.7153,-117.1573,24.63,78,75,3.6,US,1637263147
8,Dallas,32.7668,-96.7836,16.94,23,20,1.34,US,1637262716
9,Austin,30.2672,-97.7431,18.08,42,1,2.24,US,1637263189
10,San Jose,37.3394,-121.895,18.16,67,90,0.45,US,1637263193
11,Fort Worth,32.7254,-97.3208,16.69,27,1,0.89,US,1637263281
12,Jacksonville,30.3322,-81.6556,26.73,71,90,0.45,US,1637263022
13,Columbus,39.9612,-82.9988,7.84,53,90,0.45,US,1637263281
14,Charlotte,35.2271,-80.8431,24.28,56,75,0.45,US,1637263236
15,Indianapolis,39.7684,-86.158,7.66,44,20,9.77,US,1637263003
16,San Francisco,37.7749,-122.4194,17.56,78,75,0.45,US,1637263229
17,Seattle,47.6062,-122.3321,10.4,69,90,0.89,US,1637263260
18,Denver,39.7392,-104.9847,16.81,16,23,0.45,US,1637263246
19,Washington,47.5001,-120.5015,3.3,67,100,1.27,US,1637263123
20,Boston,42.3584,-71.0598,22.21,55,20,1.79,US,1637263122
21,El Paso,31.8001,-106.2005,14.49,19,20,6.69,US,1637263283
22,Nashville,36.1659,-86.7844,11.88,53,1,3.13,US,1637263086
23,Oklahoma City,35.4676,-97.5164,13.0,23,1,3.58,US,1637263149
24,Las Vegas,36.175,-115.1372,19.23,19,1,2.06,US,1637262986
25,Detroit,42.3314,-83.0458,6.67,57,75,2.24,US,1637263018
26,Portland,45.5234,-122.6762,10.67,69,90,1.34,US,1637262718
27,Memphis,35.1495,-90.049,13.56,34,75,5.14,US,1637263023
28,Louisville,38.2542,-85.7594,10.6,44,1,1.34,US,1637263191
29,Milwaukee,43.0006,-87.9668,1.19,56,90,2.24,US,1637263280
30,Baltimore,39.2904,-76.6122,25.05,47,40,0.45,US,1637263284
31,Albuquerque,35.0845,-106.6511,12.52,27,1,0.45,US,1637263167
32,Tucson,32.2217,-110.9265,26.59,16,1,0.89,US,1637262780
33,Mesa,33.4223,-111.8226,27.89,19,1,0.45,US,1637263285
34,Fresno,36.6666,-119.8343,21.08,78,90,0.0,US,1637263011
35,Sacramento,38.4666,-121.3177,19.92,84,1,0.45,US,1637263086
36,Atlanta,33.749,-84.388,24.51,59,75,0.89,US,1637263156
37,Kansas City,39.0997,-94.5786,9.98,32,1,8.05,US,1637263127
38,Colorado Springs,38.8339,-104.8214,14.25,29,75,0.89,US,1637263106
39,Raleigh,35.7721,-78.6386,24.54,64,75,1.79,US,1637263044
40,Omaha,41.2586,-95.9378,6.63,41,1,1.79,US,1637263286
41,Miami,25.7743,-80.1937,27.01,84,90,0.89,US,1637263117
42,Long Beach,33.767,-118.1892,25.41,82,75,1.34,US,1637263143
43,Virginia Beach,36.8529,-75.978,25.58,56,0,6.06,US,1637263030
44,Oakland,42.6667,-83.3999,5.95,61,90,8.23,US,1637262517
45,Minneapolis,44.98,-93.2638,0.84,60,90,2.68,US,1637262976
46,Tampa,27.9475,-82.4584,25.14,84,90,2.57,US,1637263129
47,Tulsa,36.1001,-95.9003,13.7,24,1,1.34,US,1637263202
48,Arlington,32.7357,-97.1081,16.69,23,1,4.47,US,1637263251
49,Wichita,37.6922,-97.3375,11.43,25,20,0.89,US,1637263170
50,Bakersfield,35.3733,-119.0187,26.92,35,100,1.57,US,1637263256
